Team,Year,Week,Points,Pts_Against,Result,Opponent,W,L,D
HAMM,2020,1,130.35,91,W,DUKE,1,0,0
HAMM,2020,2,119.20,139.3,L,CRAIG,0,1,0
HAMM,2020,3,122.35,129.55,L,BISCH,0,1,0
HAMM,2020,4,117.45,65.15,W,RYAN,1,0,0
HAMM,2020,5,104.30,80.3,W,FIELER,1,0,0
HAMM,2020,6,124.50,79.05,W,MURPH,1,0,0
HAMM,2020,7,161.70,125.35,W,CAP,1,0,0
HAMM,2020,8,82.70,84.95,L,LOTH,0,1,0
HAMM,2020,9,123.90,98.85,W,COLLIN,1,0,0
HAMM,2020,10,110.15,86.85,W,JAMES,1,0,0
HAMM,2020,11,122.60,121.6,W,ERIC,1,0,0
HAMM,2020,12,75.85,77.45,L,DUKE,0,1,0
HAMM,2020,13,126.15,86.05,W,CRAIG,1,0,0
HAMM,2020,14,161.75,115.6,W,DUKE,1,0,0
HAMM,2020,15,125.95,94.5,W,ERIC,1,0,0
HAMM,2020,16,148.05,111.9,W,JAMES,1,0,0
CRAIG,2020,1,99.70,113.75,L,ERIC,0,1,0
CRAIG,2020,2,139.30,119.2,W,HAMM,1,0,0
CRAIG,2020,3,122.10,140,L,RYAN,0,1,0
CRAIG,2020,4,133.25,119.1,W,MURPH,1,0,0
CRAIG,2020,5,117.30,97.95,W,LOTH,1,0,0
CRAIG,2020,6,98.40,116.75,L,JAMES,0,1,0
CRAIG,2020,7,123.80,116.45,W,DUKE,1,0,0
CRAIG,2020,8,109.10,106.4,W,BISCH,1,0,0
CRAIG,2020,9,147.25,108.6,W,FIELER,1,0,0
CRAIG,2020,10,110.55,92.25,W,CAP,1,0,0
CRAIG,2020,11,110.85,125.75,L,COLLIN,0,1,0
CRAIG,2020,12,96.60,145.75,L,ERIC,0,1,0
CRAIG,2020,13,86.05,126.15,L,HAMM,0,1,0
CRAIG,2020,14,84.70,105.7,L,ERIC,0,1,0
CRAIG,2020,15,109.80,142.35,L,DUKE,0,1,0
CRAIG,2020,16,116.85,91.5,W,CAP,1,0,0
LOTH,2020,1,97.90,120.4,L,FIELER,0,1,0
LOTH,2020,2,88.90,118.15,L,CAP,0,1,0
LOTH,2020,3,91.75,99.8,L,COLLIN,0,1,0
LOTH,2020,4,100.30,103.05,L,ERIC,0,1,0
LOTH,2020,5,97.95,117.3,L,CRAIG,0,1,0
LOTH,2020,6,95.15,146.95,L,RYAN,0,1,0
LOTH,2020,7,100.20,141.75,L,MURPH,0,1,0
LOTH,2020,8,84.95,82.7,W,HAMM,1,0,0
LOTH,2020,9,91.60,84.8,W,JAMES,1,0,0
LOTH,2020,10,120.40,78.1,W,DUKE,1,0,0
LOTH,2020,11,90.25,127.05,L,BISCH,0,1,0
LOTH,2020,12,137.00,81.9,W,FIELER,1,0,0
LOTH,2020,13,84.25,88.75,L,CAP,0,1,0
LOTH,2020,14,75.60,99.55,L,FIELER,0,1,0
LOTH,2020,15,62.05,135.55,L,COLLIN,0,1,0
LOTH,2020,16,95.75,150.75,L,FIELER,0,1,0
FIELER,2020,1,120.40,97.9,W,LOTH,1,0,0
FIELER,2020,2,130.60,113.7,W,JAMES,1,0,0
FIELER,2020,3,88.00,107.35,L,DUKE,0,1,0
FIELER,2020,4,125.30,94.7,W,BISCH,1,0,0
FIELER,2020,5,80.30,104.3,L,HAMM,0,1,0
FIELER,2020,6,71.65,100.35,L,CAP,0,1,0
FIELER,2020,7,86.20,84.1,W,COLLIN,1,0,0
